,,,,,,,,,Goals,,,,,Expected,,,,Launched,,,Passes,,,,Goal Kicks,,,Crosses,,,Sweeper,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Adrián\Adrian,es ESP,GK,Liverpool,eng Premier League,34-122,1987,3.0,3.00,0.00,0.00,0.67,0.00,2.63,0.42,-0.37,-0.36,4.00,10.7,37.5,25.7,6.67,31.2,34.9,7.33,36.4,32.6,9.67,0.67,6.9,0.33,0.33,4.40,Matches
2,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Arsenal,eng Premier League,26-076,1995,0.2,0.00,0.00,0.00,0.00,0.00,0.50,0.04,0.50,+0.50,0.00,15.0,0.0,50.0,10.0,30.0,31.8,5.00,0.0,30.0,20.0,0.00,0.0,0.00,0.00,87.5,Matches
3,Alisson\Alisson,br BRA,GK,Liverpool,eng Premier League,28-215,1992,28.0,1.04,0.14,0.04,0.14,0.00,1.19,0.32,0.16,+0.16,3.71,7.93,46.8,29.3,4.68,21.6,30.1,5.04,31.9,35.1,6.07,0.50,8.2,1.43,1.43,0.67,Matches
4,Saturnin Allagbé\Saturnin-Allagbe,bj BEN,GK,Dijon,fr Ligue 1,27-164,1993,9.0,2.56,0.11,0.11,0.22,0.11,1.80,0.29,-0.64,-0.65,6.44,18.1,35.6,26.1,5.56,49.8,39.4,8.44,60.5,44.3,8.89,0.44,5.0,1.00,1.00,1.69,Matches
5,Nícolas Andrade\Nicolas-Andrade,br BRA,GK,Udinese,it Serie A,33-023,1988,2.0,2.50,0.00,0.00,0.00,0.00,2.00,0.58,-0.50,-0.48,3.00,6.50,46.2,15.5,2.50,25.8,32.1,4.50,55.6,47.4,8.00,0.00,0.0,0.00,0.00,7.60,Matches
6,Ángel\Angel,es ESP,GK,Granada,es La Liga,18-317,2002,1.0,2.00,1.00,0.00,1.00,0.00,2.70,0.22,0.70,+0.69,10.0,24.0,41.7,13.0,0.00,76.9,50.1,17.0,82.4,55.0,10.0,0.00,0.0,1.00,1.00,14.3,Matches
7,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,eng Premier League,28-067,1993,33.0,1.27,0.18,0.00,0.09,0.03,1.47,0.32,0.23,+0.23,4.97,12.2,40.6,20.1,4.21,40.2,34.8,7.00,59.7,44.2,9.42,0.97,10.3,0.48,0.48,0.40,Matches
8,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,26-214,1994,5.0,1.20,0.00,0.00,0.00,0.00,1.12,0.28,-0.08,-0.07,6.60,13.8,47.8,30.4,6.20,33.6,31.6,8.00,45.0,36.4,7.40,1.00,13.5,0.40,0.40,3.12,Matches
9,Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,es La Liga,31-311,1989,33.0,1.12,0.15,0.00,0.12,0.06,0.94,0.25,-0.09,-0.09,5.67,12.9,43.9,28.5,5.27,32.0,34.0,7.82,48.4,42.3,12.0,1.24,10.3,0.48,0.48,0.41,Matches
10,Emil Audero\Emil-Audero,it ITA,GK,Sampdoria,it Serie A,24-107,1997,34.0,1.38,0.18,0.03,0.18,0.03,1.32,0.26,-0.03,-0.03,7.12,17.1,41.5,26.9,4.94,46.0,39.2,7.18,66.8,48.1,10.4,0.85,8.2,0.41,0.41,0.37,Matches
11,Édgar Badía\Edgar-Badia,es ESP,GK,Elche,es La Liga,29-082,1992,30.0,1.53,0.17,0.00,0.17,0.00,1.52,0.30,-0.01,-0.01,8.73,17.3,50.6,28.8,4.77,39.5,35.9,9.43,62.5,43.3,10.1,0.77,7.6,0.67,0.67,0.44,Matches
12,Stefan Bajic\Stefan-Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,19-133,2001,1.0,4.00,0.00,0.00,0.00,0.00,1.80,0.44,-2.20,-2.23,3.00,17.0,17.6,29.0,9.00,37.9,34.8,7.00,85.7,50.9,12.0,2.00,16.7,0.00,0.00,13.6,Matches
13,Oliver Baumann\Oliver-Baumann,de GER,GK,Hoffenheim,de Bundesliga,30-337,1990,30.0,1.63,0.20,0.00,0.10,0.07,1.56,0.33,-0.00,0.00,6.30,15.2,41.4,37.2,5.73,33.8,33.3,6.63,40.2,35.5,9.00,0.37,4.1,1.17,1.17,0.50,Matches
14,Walter Benítez\Walter-Benitez,ar ARG,GK,Nice,fr Ligue 1,28-047,1993,35.0,1.34,0.20,0.00,0.31,0.00,1.22,0.24,-0.13,-0.13,3.40,9.23,36.8,24.2,4.51,26.4,29.8,8.11,35.2,34.2,9.54,0.71,7.5,0.37,0.37,0.35,Matches
15,Paul Bernardoni\Paul-Bernardoni,fr FRA,GK,Angers,fr Ligue 1,24-017,1997,35.0,1.51,0.14,0.00,0.17,0.03,1.29,0.33,-0.19,-0.19,4.74,13.7,34.5,19.0,5.60,44.4,39.1,7.23,73.1,52.7,8.66,0.60,6.9,0.29,0.29,0.37,Matches
16,Dimitry Bertaud\Dimitry-Bertaud,fr FRA,GK,Montpellier,fr Ligue 1,22-333,1998,5.3,1.51,0.19,0.00,0.19,0.00,1.42,0.32,-0.09,-0.09,12.6,21.3,59.3,25.7,3.96,57.4,43.1,8.87,74.5,54.9,8.49,0.94,11.1,0.19,0.19,2.25,Matches
17,Rubén Blanco\Ruben-Blanco,es ESP,GK,Celta Vigo,es La Liga,25-284,1995,18.2,1.48,0.05,0.05,0.11,0.00,1.25,0.37,-0.23,-0.23,6.10,16.4,37.2,28.6,4.45,40.2,36.2,7.91,61.8,46.3,8.19,0.49,6.0,0.66,0.66,0.82,Matches
18,Yassine Bounou\Yassine-Bounou,ma MAR,GK,Sevilla,es La Liga,30-030,1991,30.0,0.73,0.13,0.00,0.10,0.07,0.74,0.22,0.07,+0.07,6.07,13.0,46.5,27.6,4.23,34.7,35.2,5.93,58.4,45.0,8.77,0.90,10.3,0.67,0.67,0.52,Matches
19,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Betis,es La Liga,38-022,1983,16.0,1.31,0.19,0.00,0.13,0.06,1.38,0.34,0.13,+0.13,6.88,17.4,39.6,27.1,4.38,50.2,41.7,5.94,63.2,49.5,8.44,0.56,6.7,0.31,0.31,0.76,Matches
20,Gianluigi Buffon\Gianluigi-Buffon,it ITA,GK,Juventus,it Serie A,43-097,1978,7.0,0.57,0.29,0.14,0.00,0.00,0.59,0.16,0.01,+0.01,3.57,7.86,45.5,30.9,5.43,21.3,28.8,7.29,17.6,23.3,9.71,0.29,2.9,0.71,0.71,1.99,Matches
21,Roman Bürki\Roman-Burki,ch SUI,GK,Dortmund,de Bundesliga,30-172,1990,16.0,1.63,0.13,0.00,0.31,0.00,1.29,0.27,-0.34,-0.34,4.50,10.1,44.4,27.6,5.38,29.4,31.7,5.44,36.8,35.7,5.88,0.44,7.4,0.31,0.31,0.86,Matches
22,David Button\David-Button,eng ENG,GK,West Brom,eng Premier League,32-067,1989,1.0,2.00,0.00,0.00,1.00,0.00,1.70,0.24,-0.30,-0.31,8.00,29.0,27.6,25.0,2.00,68.0,49.2,12.0,100.0,67.0,10.0,1.00,10.0,0.00,0.00,10.0,Matches
23,Marcin Bułka\Marcin-Bulka,pl POL,GK,Paris S-G,fr Ligue 1,21-213,1999,1.0,1.00,0.00,0.00,0.00,0.00,1.30,0.45,0.30,+0.32,2.00,5.00,40.0,28.0,9.00,17.9,25.5,2.00,0.0,21.5,7.00,0.00,0.0,2.00,2.00,13.1,Matches
24,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,eng Premier League,39-219,1981,1.0,3.00,0.00,0.00,1.00,0.00,1.50,0.49,-1.50,-1.54,1.00,3.00,33.3,20.0,2.00,15.0,24.6,6.00,0.0,19.7,8.00,0.00,0.0,2.00,2.00,22.0,Matches
