,,,,,,,,,Tackles,,,,,Vs Dribbles,,,,Pressures,,,,,,Blocks,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Ismael Aaneba\Ismael-Aaneba,fr FRA,FWDF,Strasbourg,fr Ligue 1,21-340,1999,0.1,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.0,10.0,20.0,0.00,0.0,10.0,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.0,0.00,Matches
2,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,30-248,1990,19.7,1.62,0.96,1.02,0.56,0.05,0.71,2.08,34.1,1.37,10.4,3.45,33.2,6.55,2.84,1.02,1.57,0.36,0.05,1.22,1.73,3.35,2.03,0.05,Matches
3,Issah Abbas\Issah-Abbas,gh GHA,DFFW,Mainz 05,de Bundesliga,22-220,1998,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,15.0,0.00,0.0,0.00,5.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
4,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33-218,1987,31.0,2.26,1.42,1.65,0.61,0.00,0.48,1.16,41.7,0.68,11.6,4.45,38.3,7.87,3.39,0.35,1.58,0.58,0.03,1.00,1.74,4.00,5.29,0.00,Matches
5,Sabit Abdulai\Sabit-Abdulai,gh GHA,MF,Getafe,es La Liga,21-358,1999,0.6,1.67,0.00,0.00,1.67,0.00,0.00,1.67,0.0,1.67,21.7,6.67,30.8,8.33,10.0,3.33,0.00,0.00,0.00,0.00,1.67,3.33,0.00,0.00,Matches
6,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Nantes,fr Ligue 1,28-271,1992,14.7,2.52,1.63,1.09,1.22,0.20,0.75,1.70,44.0,0.95,16.7,5.78,34.7,5.10,9.05,2.52,1.22,0.14,0.00,1.09,1.56,4.08,0.95,0.07,Matches
7,Laurent Abergel\Laurent-Abergel,fr FRA,MF,Lorient,fr Ligue 1,28-092,1993,29.9,4.98,3.38,2.01,2.47,0.50,1.57,5.28,29.7,3.71,28.9,8.26,28.6,9.87,16.1,2.94,1.40,0.17,0.00,1.24,1.47,6.45,0.33,0.00,Matches
8,Charles Abi\Charles-Abi,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,21-022,2000,9.1,0.66,0.33,0.55,0.11,0.00,0.55,1.21,45.5,0.66,20.1,5.16,25.7,2.09,9.45,8.57,0.77,0.11,0.00,0.66,0.66,1.32,0.66,0.00,Matches
9,Matthis Abline\Matthis-Abline,fr FRA,FW,Rennes,fr Ligue 1,18-037,2003,0.0,0,0,0,0,0,0,0,,0,1,0,0.0,0,1,0,0,0,0,0,0,0,0,0,Matches
10,Pape Abou Cisse\Pape-Abou-Cisse,sn SEN,DF,Saint-Étienne,fr Ligue 1,25-232,1995,13.0,1.54,0.69,1.15,0.38,0.00,0.62,1.23,50.0,0.62,7.54,3.23,42.9,5.31,1.92,0.31,1.15,0.31,0.00,0.85,2.08,3.62,10.5,0.15,Matches
11,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34-293,1986,13.6,1.25,0.96,0.74,0.37,0.15,0.59,1.47,40.0,0.88,10.6,4.71,44.4,5.96,3.46,1.18,1.91,0.37,0.07,1.54,1.10,2.35,2.43,0.00,Matches
12,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,eng Premier League,23-214,1997,11.6,0.69,0.34,0.26,0.34,0.09,0.09,0.52,16.7,0.43,14.0,3.28,23.5,1.12,6.12,6.72,0.78,0.17,0.00,0.60,0.17,0.86,1.47,0.00,Matches
13,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,31-038,1990,0.7,2.86,1.43,1.43,0.00,1.43,1.43,1.43,100.0,0.00,18.6,1.43,7.7,8.57,8.57,1.43,4.29,1.43,0.00,2.86,2.86,5.71,0.00,0.00,Matches
14,Gennaro Acampora\Gennaro-Acampora,it ITA,MFFW,Spezia,it Serie A,27-036,1994,4.8,2.29,1.46,0.21,1.46,0.63,1.04,1.46,71.4,0.42,17.7,4.58,25.9,1.67,11.3,4.79,1.04,0.21,0.00,0.83,0.83,3.13,0.63,0.00,Matches
15,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,it Serie A,33-083,1988,28.3,1.80,1.24,1.20,0.49,0.11,0.39,1.20,32.4,0.81,10.9,4.63,42.5,6.50,3.50,0.88,1.66,0.57,0.00,1.10,1.98,3.78,4.98,0.04,Matches
16,Ragnar Ache\Ragnar-Ache,de GER,FWMF,Eint Frankfurt,de Bundesliga,22-280,1998,0.9,1.11,0.00,0.00,0.00,1.11,0.00,3.33,0.0,3.33,27.8,3.33,12.0,0.00,18.9,8.89,2.22,0.00,0.00,2.22,0.00,1.11,1.11,0.00,Matches
17,Marcos Acuña\Marcos-Acuna,ar ARG,DF,Sevilla,es La Liga,29-188,1991,23.5,2.85,1.87,1.62,0.85,0.38,0.94,1.57,59.5,0.64,13.3,4.55,34.2,5.87,5.11,2.34,1.53,0.13,0.00,1.40,0.98,3.83,1.40,0.00,Matches
18,Che Adams\Che-Adams,sco SCO,FW,Southampton,eng Premier League,24-295,1996,26.3,1.03,0.57,0.19,0.46,0.38,0.23,0.80,28.6,0.57,14.3,4.83,33.9,1.79,5.21,7.26,0.95,0.15,0.00,0.80,0.34,1.37,0.57,0.04,Matches
19,Tyler Adams\Tyler-Adams,us USA,DFMF,RB Leipzig,de Bundesliga,22-079,1999,20.6,2.52,1.50,0.92,1.26,0.34,0.73,1.75,41.7,1.02,17.6,5.73,32.6,4.56,9.81,3.20,1.80,0.29,0.00,1.50,1.50,4.03,1.94,0.00,Matches
20,Sargis Adamyan\Sargis-Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,27-346,1993,2.9,0.69,0.69,0.00,0.69,0.00,0.00,1.38,0.0,1.38,16.9,3.10,18.4,2.76,6.55,7.59,1.03,0.00,0.00,1.03,1.38,2.07,0.34,0.00,Matches
21,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,eng Premier League,23-222,1997,29.0,1.21,0.76,0.93,0.24,0.03,0.52,1.07,48.4,0.55,5.45,1.69,31.0,3.62,1.62,0.21,1.14,0.66,0.00,0.48,1.45,2.66,7.48,0.03,Matches
22,Bobby Adekanye\Bobby-Adekanye,nl NED,FWMF,Cádiz,es La Liga,22-079,1999,0.4,0.00,0.00,0.00,0.00,0.00,0.00,2.50,0.0,2.50,12.5,2.50,20.0,2.50,0.00,10.0,2.50,0.00,0.00,2.50,0.00,0.00,0.00,0.00,Matches
23,Yacine Adli\Yacine-Adli,fr FRA,MF,Bordeaux,fr Ligue 1,20-279,2000,24.0,3.42,2.38,1.38,1.54,0.50,1.00,3.08,32.4,2.08,26.1,7.00,26.8,7.75,13.5,4.83,1.33,0.13,0.00,1.21,1.46,4.88,0.88,0.08,Matches
24,Andrea Adorante\Andrea-Adorante,it ITA,FW,Parma,it Serie A,21-088,2000,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,30.0,10.0,33.3,0.00,10.0,20.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
25,Adrián\Adrian,es ESP,GK,Liverpool,eng Premier League,34-121,1987,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.33,0.00,0.0,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,Matches
26,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DFMF,Alavés,es La Liga,24-359,1996,15.3,1.90,0.85,0.98,0.59,0.33,0.65,1.57,41.7,0.92,10.8,3.14,29.1,4.18,5.23,1.37,1.57,0.26,0.07,1.31,2.03,3.92,2.35,0.07,Matches
27,Lucien Agoume\Lucien-Agoume,fr FRA,MF,Spezia,it Serie A,19-084,2002,8.1,1.60,1.36,0.99,0.62,0.00,0.25,1.36,18.2,1.11,17.3,4.94,28.6,6.17,9.75,1.36,2.10,0.49,0.00,1.60,1.73,3.33,1.73,0.12,Matches
28,Felix Agu\Felix-Agu,de GER,DF,Werder Bremen,de Bundesliga,21-219,1999,7.7,3.51,2.08,1.56,1.43,0.52,1.69,3.12,54.2,1.43,23.2,6.23,26.8,11.2,8.05,4.03,2.08,0.39,0.00,1.69,2.60,6.10,2.99,0.00,Matches
29,Kevin Agudelo\Kevin-Agudelo,co COL,FW,Spezia,it Serie A,22-171,1998,13.2,3.03,1.74,0.76,1.59,0.68,0.53,1.89,28.0,1.36,23.6,6.59,28.0,3.86,10.3,9.39,1.97,0.00,0.00,1.97,0.30,3.33,0.53,0.00,Matches
30,Nayef Aguerd\Nayef-Aguerd,ma MAR,DF,Rennes,fr Ligue 1,25-035,1996,32.0,1.56,1.03,1.16,0.41,0.00,0.59,1.13,52.8,0.53,7.56,2.88,38.0,4.41,2.88,0.28,1.22,0.69,0.00,0.53,1.09,2.66,5.19,0.03,Matches
31,Sergio Agüero\Sergio-Aguero,ar ARG,FWMF,Manchester City,eng Premier League,32-336,1988,5.2,0.19,0.00,0.00,0.00,0.19,0.19,1.73,11.1,1.54,14.0,4.04,28.8,1.35,5.00,7.69,0.77,0.00,0.00,0.77,0.77,0.96,0.19,0.00,Matches
32,Ruben Aguilar\Ruben-Aguilar,fr FRA,DFFW,Monaco,fr Ligue 1,28-008,1993,23.6,3.35,1.86,1.53,1.19,0.64,1.40,2.33,60.0,0.93,16.6,5.93,35.8,6.06,6.69,3.81,1.53,0.08,0.00,1.44,1.44,4.79,2.29,0.04,Matches
33,Naouirou Ahamada\Naouirou-Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,19-036,2002,2.4,0.83,0.42,0.42,0.42,0.00,0.83,1.25,66.7,0.42,16.7,5.00,30.0,5.83,10.4,0.42,2.08,0.00,0.00,2.08,1.67,2.50,0.42,0.00,Matches
34,Matteo Ahlinvi\Matteo-Ahlinvi,bj BEN,MF,Nîmes,fr Ligue 1,21-306,1999,9.1,2.86,1.87,1.43,1.21,0.22,0.66,3.74,17.6,3.08,25.1,5.71,22.8,8.90,12.6,3.52,1.32,0.22,0.00,1.10,0.44,3.30,0.99,0.00,Matches
35,Cheikh Ahmadou Dieng\Cheikh-Ahmadou-Dieng,sn SEN,FW,Marseille,fr Ligue 1,21-042,2000,1.3,2.31,1.54,0.77,1.54,0.00,1.54,2.31,66.7,0.77,16.9,1.54,9.1,3.08,5.38,8.46,0.00,0.00,0.00,0.00,0.77,3.08,0.00,0.00,Matches
36,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,27-045,1994,22.1,2.31,1.40,0.81,1.40,0.09,0.41,1.67,24.3,1.27,16.3,5.02,30.7,5.07,9.41,1.86,1.18,0.23,0.00,0.95,2.26,4.57,1.81,0.05,Matches
37,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Monaco,fr Ligue 1,27-045,1994,0.4,2.50,0.00,2.50,0.00,0.00,0.00,0.00,,0.00,25.0,2.50,10.0,15.0,10.0,0.00,0.00,0.00,0.00,0.00,5.00,7.50,2.50,0.00,Matches
38,Joseph Aidoo\Joseph-Aidoo,gh GHA,DF,Celta Vigo,es La Liga,25-217,1995,13.1,2.06,1.30,1.60,0.38,0.08,0.84,1.60,52.4,0.76,11.7,3.82,32.7,7.33,4.27,0.08,1.30,0.23,0.00,1.07,1.15,3.21,7.25,0.15,Matches
39,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,eng Premier League,24-208,1996,28.9,1.63,0.87,0.93,0.48,0.21,0.59,1.38,42.5,0.80,8.62,2.11,24.5,4.74,3.11,0.76,1.56,0.24,0.00,1.31,1.76,3.39,4.19,0.00,Matches
40,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Angers,fr Ligue 1,19-332,2001,2.1,1.43,0.95,0.48,0.95,0.00,0.95,1.90,50.0,0.95,15.7,5.24,33.3,9.05,4.76,1.90,1.90,0.48,0.00,1.43,0.48,1.90,0.00,0.00,Matches
41,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,eng Premier League,19-332,2001,12.7,2.20,1.18,1.18,0.94,0.08,0.87,1.81,47.8,0.94,14.3,4.80,33.7,8.03,4.57,1.65,1.81,0.00,0.00,1.81,0.87,3.07,2.44,0.00,Matches
42,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,eng Premier League,27-176,1993,26.9,2.08,1.49,1.60,0.41,0.07,0.67,1.19,56.3,0.52,11.6,4.54,39.2,7.58,3.38,0.59,1.90,1.08,0.11,0.82,1.30,3.38,4.76,0.07,Matches
43,Ludovic Ajorque\Ludovic-Ajorque,re REU,FW,Strasbourg,fr Ligue 1,27-068,1994,30.0,1.07,0.53,0.07,0.67,0.33,0.07,0.87,7.7,0.80,11.5,2.87,25.0,0.80,5.33,5.33,0.53,0.20,0.00,0.33,0.33,1.40,1.43,0.00,Matches
44,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,de Bundesliga,25-289,1995,23.4,1.84,1.15,1.11,0.51,0.21,0.56,1.15,48.1,0.60,10.1,3.76,37.3,4.87,4.40,0.81,1.62,0.47,0.00,1.15,1.45,3.29,4.27,0.04,Matches
45,Carlos Akapo\Carlos-Akapo,gq EQG,DF,Cádiz,es La Liga,28-053,1993,7.4,2.43,1.22,2.03,0.41,0.00,1.08,2.03,53.3,0.95,11.6,3.24,27.9,7.84,3.24,0.54,2.97,0.54,0.00,2.43,0.95,3.38,4.19,0.27,Matches
46,Marley Aké\Marley-Ake,fr FRA,FW,Marseille,fr Ligue 1,20-119,2001,1.6,1.88,0.00,1.25,0.00,0.63,0.00,0.00,,0.00,18.1,1.25,6.9,2.50,5.63,10.0,1.25,0.00,0.00,1.25,0.63,2.50,1.88,0.00,Matches
47,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,eng Premier League,26-075,1995,6.9,0.72,0.29,0.43,0.14,0.14,0.29,0.29,100.0,0.00,6.23,2.17,34.9,2.75,2.61,0.87,0.58,0.29,0.00,0.29,0.58,1.30,3.04,0.00,Matches
48,Paul Akouokou\Paul-Akouokou,ci CIV,MF,Betis,es La Liga,23-135,1997,4.2,2.86,1.90,0.71,2.14,0.00,0.48,1.19,40.0,0.71,17.9,4.76,26.7,4.29,12.4,1.19,1.43,0.24,0.00,1.19,1.43,4.29,1.90,0.00,Matches
49,Jean-Daniel Akpa-Akpro\Jean-Daniel-Akpa-Akpro,ci CIV,MFFW,Lazio,it Serie A,28-205,1992,9.6,4.27,2.81,1.46,2.40,0.42,0.83,2.29,36.4,1.46,28.6,9.17,32.0,8.65,14.3,5.73,2.92,0.63,0.00,2.29,1.56,5.83,1.25,0.00,Matches
50,Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,26-015,1995,11.4,1.93,0.96,1.23,0.61,0.09,0.70,1.05,66.7,0.35,14.0,4.91,35.0,6.32,6.75,0.96,2.89,1.14,0.18,1.75,0.79,2.72,3.07,0.00,Matches
51,David Alaba\David-Alaba,at AUT,DFMF,Bayern Munich,de Bundesliga,28-314,1992,27.3,1.28,1.03,0.44,0.73,0.11,0.29,1.10,26.7,0.81,10.7,4.10,38.5,4.03,5.35,1.28,1.54,0.51,0.00,1.03,1.25,2.53,3.30,0.07,Matches
52,Sofiane Alakouch\Sofiane-Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,22-279,1998,16.2,3.77,1.98,2.16,0.93,0.68,1.91,2.84,67.4,0.93,15.9,5.25,32.9,9.26,4.26,2.41,2.16,0.12,0.00,2.04,2.04,5.80,2.72,0.00,Matches
53,Jony Álamo\Jony-Alamo,es ESP,MF,Elche,es La Liga,19-221,2001,0.8,1.25,1.25,0.00,1.25,0.00,0.00,2.50,0.0,2.50,11.3,5.00,44.4,3.75,6.25,1.25,1.25,0.00,0.00,1.25,0.00,1.25,1.25,0.00,Matches
54,Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,de Bundesliga,28-208,1992,13.8,0.58,0.43,0.22,0.22,0.14,0.07,0.29,25.0,0.22,11.0,3.62,32.9,0.36,3.33,7.32,0.65,0.14,0.00,0.51,0.22,0.80,0.65,0.00,Matches
55,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,es La Liga,32-044,1989,30.1,1.30,0.70,0.66,0.43,0.20,0.73,1.83,40.0,1.10,9.93,2.89,29.1,3.52,4.42,1.99,1.93,0.13,0.00,1.79,1.26,2.56,1.26,0.00,Matches
56,Luis Alberto\Luis-Alberto,es ESP,MF,Lazio,it Serie A,28-218,1992,25.3,1.66,1.23,0.63,0.71,0.32,0.55,2.41,23.0,1.86,18.6,5.57,29.9,4.62,9.68,4.31,1.30,0.08,0.00,1.23,0.71,2.37,0.40,0.00,Matches
57,Raúl Albiol\Raul-Albiol,es ESP,DF,Villarreal,es La Liga,35-242,1985,30.6,0.75,0.52,0.59,0.16,0.00,0.29,0.56,52.9,0.26,5.52,2.25,40.8,2.91,2.35,0.26,1.37,0.72,0.03,0.65,0.72,1.47,4.71,0.03,Matches
58,Marc Albrighton\Marc-Albrighton,eng ENG,FWDF,Leicester City,eng Premier League,31-167,1989,15.8,2.22,1.58,0.76,0.95,0.51,1.08,2.78,38.6,1.71,17.2,6.52,38.0,5.95,6.96,4.24,1.71,0.13,0.06,1.58,1.33,3.54,1.33,0.00,Matches
59,Paco Alcácer\Paco-Alcacer,es ESP,FW,Villarreal,es La Liga,27-247,1993,16.1,0.31,0.25,0.06,0.12,0.12,0.06,0.43,14.3,0.37,9.32,2.61,28.0,0.43,4.35,4.53,0.62,0.00,0.00,0.62,0.37,0.68,0.25,0.00,Matches
60,Pedro Alcalá\Pedro-Alcala,es ESP,DF,Cádiz,es La Liga,32-046,1989,8.0,0.88,0.88,0.75,0.13,0.00,0.63,1.00,62.5,0.38,6.13,1.38,22.4,4.25,1.63,0.25,2.88,1.25,0.13,1.63,2.13,3.00,6.00,0.00,Matches
61,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,eng Premier League,30-023,1991,15.6,2.95,1.86,1.15,1.28,0.51,0.83,2.24,37.1,1.41,20.7,6.47,31.3,5.38,10.5,4.81,1.22,0.00,0.00,1.22,1.67,4.62,0.90,0.00,Matches
62,Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,es La Liga,30-003,1991,22.4,2.41,1.61,1.47,0.89,0.04,0.89,3.30,27.0,2.41,22.7,6.29,27.8,10.4,10.5,1.70,2.05,0.40,0.00,1.65,1.16,3.57,1.65,0.04,Matches
63,Omar Alderete\Omar-Alderete,py PAR,DF,Hertha BSC,de Bundesliga,24-129,1996,11.4,1.58,0.88,1.05,0.53,0.00,0.26,1.05,25.0,0.79,10.0,3.60,36.0,5.88,3.95,0.18,1.49,0.79,0.00,0.70,1.05,2.63,6.58,0.18,Matches
64,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,eng Premier League,32-063,1989,20.9,1.58,0.72,0.91,0.67,0.00,0.62,1.15,54.2,0.53,8.47,2.97,35.0,5.17,3.16,0.14,1.96,1.15,0.05,0.81,0.29,1.87,6.89,0.00,Matches
65,Iván Alejo\Ivan-Alejo,es ESP,MFFW,Cádiz,es La Liga,26-083,1995,7.6,2.11,1.45,1.32,0.53,0.26,0.39,2.50,15.8,2.11,25.9,4.87,18.8,9.47,8.95,7.50,2.76,0.26,0.00,2.50,0.26,2.37,0.92,0.00,Matches
66,Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,es La Liga,23-119,1998,0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,28.0,2.00,7.1,10.0,16.0,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
67,Carles Aleñá\Carles-Alena,es ESP,MFFW,Getafe,es La Liga,23-119,1998,12.3,1.14,0.49,0.33,0.65,0.16,0.33,1.22,26.7,0.89,16.8,4.07,24.2,3.58,10.0,3.25,1.22,0.08,0.00,1.14,0.49,1.63,0.49,0.00,Matches
68,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Arsenal,eng Premier League,26-075,1995,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
69,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,22-209,1998,28.7,1.85,1.18,0.94,0.70,0.21,1.08,1.85,58.5,0.77,9.34,3.45,36.9,3.52,3.31,2.51,1.36,0.10,0.00,1.25,1.11,2.96,2.06,0.03,Matches
70,Alfon\Alfon,es ESP,MF,Celta Vigo,es La Liga,22-000,1999,0.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,12.5,2.50,20.0,0.00,5.00,7.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
71,Mohamed Ali Cho\Mohamed-Ali-Cho,fr FRA,FWMF,Angers,fr Ligue 1,17-105,2004,3.5,2.86,2.29,0.57,2.00,0.29,0.29,2.29,12.5,2.00,27.7,10.3,37.1,3.71,12.3,11.7,2.86,0.29,0.00,2.57,0.86,3.71,0.00,0.00,Matches
72,Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DF,Leeds United,eng Premier League,29-081,1992,23.3,2.88,1.46,1.33,1.24,0.30,1.03,2.92,35.3,1.89,20.0,5.54,27.7,8.80,8.37,2.79,1.67,0.21,0.00,1.46,1.24,4.12,2.19,0.00,Matches
73,Rachid Alioui\Rachid-Alioui,ma MAR,FW,Angers,fr Ligue 1,28-320,1992,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,5.00,0.00,0.0,0.00,5.00,0.00,5.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,Matches
74,Alisson\Alisson,br BRA,GK,Liverpool,eng Premier League,28-214,1992,28.0,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.0,0.04,0.14,0.00,0.0,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.18,Matches
75,Saturnin Allagbé\Saturnin-Allagbe,bj BEN,GK,Dijon,fr Ligue 1,27-163,1993,9.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.33,0.00,0.0,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,Matches
76,Allan\Allan,br BRA,MF,Everton,eng Premier League,30-116,1991,17.8,3.20,2.30,1.52,1.57,0.11,1.07,3.65,29.2,2.58,27.2,8.43,30.9,11.9,13.8,1.52,1.74,0.62,0.00,1.12,1.01,4.21,1.24,0.00,Matches
77,Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,eng Premier League,25-023,1996,3.5,2.00,1.43,1.14,0.57,0.29,0.57,2.00,28.6,1.43,27.4,6.00,21.9,4.29,12.3,10.9,0.86,0.00,0.00,0.86,2.29,4.29,0.57,0.00,Matches
78,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,eng Premier League,27-083,1994,23.1,1.86,1.08,0.82,0.91,0.13,0.65,2.08,31.3,1.43,19.0,4.37,23.1,6.32,7.84,4.81,1.39,0.17,0.09,1.21,1.04,2.90,1.00,0.04,Matches
79,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,eng Premier League,30-127,1990,9.7,1.24,0.72,0.41,0.52,0.31,0.31,1.75,17.6,1.44,13.3,4.23,31.8,5.98,4.54,2.78,2.06,0.10,0.00,1.96,0.93,2.16,3.71,0.00,Matches
80,Sergio Álvarez\Sergio-Alvarez,es ESP,MFDF,Eibar,es La Liga,29-101,1992,17.1,2.22,1.35,0.47,1.52,0.23,0.35,1.52,23.1,1.17,19.4,5.67,29.3,5.26,12.1,1.99,2.05,0.29,0.00,1.75,0.70,2.92,2.28,0.00,Matches
81,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,es La Liga,26-100,1995,19.6,1.17,0.82,0.61,0.51,0.05,0.31,0.87,35.3,0.56,6.94,2.14,30.9,3.98,2.65,0.31,1.28,0.31,0.00,0.97,1.84,3.01,6.02,0.00,Matches
82,Bruno Alves\Bruno-Alves,pt POR,DF,Parma,it Serie A,39-158,1981,16.1,0.99,0.37,0.62,0.37,0.00,0.50,0.81,61.5,0.31,7.83,2.30,29.4,5.09,2.42,0.31,1.49,0.87,0.00,0.62,0.87,1.86,5.22,0.00,Matches
