,,,,,,,,,Performance,,,,,,,,,,,,,Aerial Duels,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Ismael Aaneba\Ismael-Aaneba,fr FRA,FWDF,Strasbourg,fr Ligue 1,21-340,1999,0.1,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,,Matches
2,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,30-248,1990,19.7,0.10,0.00,0.00,0.56,0.20,0.15,1.73,1.73,0.96,0.00,0.00,0.00,9.14,0.51,0.56,47.6,Matches
3,Issah Abbas\Issah-Abbas,gh GHA,DFFW,Mainz 05,de Bundesliga,22-220,1998,0.2,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.0,0.00,0.00,,Matches
4,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33-218,1987,31.0,0.13,0.00,0.00,1.19,0.65,0.00,0.00,1.74,1.42,0.00,0.00,0.00,8.94,2.90,1.58,64.7,Matches
5,Sabit Abdulai\Sabit-Abdulai,gh GHA,MF,Getafe,es La Liga,21-358,1999,0.6,0.00,0.00,0.00,0.00,1.67,0.00,1.67,1.67,0.00,0.00,0.00,0.00,6.67,0.00,1.67,0.0,Matches
6,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Nantes,fr Ligue 1,28-271,1992,14.7,0.34,0.00,0.00,2.04,1.50,0.07,1.43,1.56,1.63,0.00,0.00,0.00,9.93,0.82,1.29,38.7,Matches
7,Laurent Abergel\Laurent-Abergel,fr FRA,MF,Lorient,fr Ligue 1,28-092,1993,29.9,0.17,0.00,0.00,1.24,1.17,0.00,0.50,1.47,3.38,0.03,0.00,0.00,9.46,0.23,0.60,28.0,Matches
8,Charles Abi\Charles-Abi,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,21-022,2000,9.1,0.11,0.00,0.00,1.87,0.88,0.77,0.44,0.66,0.33,0.00,0.00,0.00,4.18,3.85,6.04,38.9,Matches
9,Matthis Abline\Matthis-Abline,fr FRA,FW,Rennes,fr Ligue 1,18-037,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
10,Pape Abou Cisse\Pape-Abou-Cisse,sn SEN,DF,Saint-Étienne,fr Ligue 1,25-232,1995,13.0,0.08,0.00,0.00,0.54,0.69,0.08,0.08,2.08,0.69,0.00,0.00,0.00,9.38,4.31,1.15,78.9,Matches
11,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34-293,1986,13.6,0.37,0.07,0.07,0.81,0.59,0.07,0.59,1.10,0.96,0.00,0.00,0.00,12.9,2.87,1.91,60.0,Matches
12,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,eng Premier League,23-214,1997,11.6,0.00,0.00,0.00,1.90,1.03,0.43,0.34,0.17,0.34,0.09,0.00,0.00,4.05,3.36,2.41,58.2,Matches
13,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,31-038,1990,0.7,0.00,0.00,0.00,5.71,0.00,0.00,0.00,2.86,1.43,0.00,0.00,0.00,8.57,1.43,2.86,33.3,Matches
14,Gennaro Acampora\Gennaro-Acampora,it ITA,MFFW,Spezia,it Serie A,27-036,1994,4.8,0.42,0.00,0.00,2.08,2.29,0.21,1.46,0.83,1.46,0.00,0.00,0.00,10.2,0.00,1.88,0.0,Matches
15,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,it Serie A,33-083,1988,28.3,0.18,0.00,0.00,0.88,0.74,0.07,0.81,1.98,1.24,0.00,0.00,0.00,12.1,2.40,0.71,77.3,Matches
16,Ragnar Ache\Ragnar-Ache,de GER,FWMF,Eint Frankfurt,de Bundesliga,22-280,1998,0.9,0.00,0.00,0.00,4.44,1.11,1.11,0.00,0.00,0.00,0.00,0.00,0.00,6.67,13.3,3.33,80.0,Matches
17,Marcos Acuña\Marcos-Acuna,ar ARG,DF,Sevilla,es La Liga,29-188,1991,23.5,0.17,0.00,0.00,1.74,1.36,0.04,3.11,0.98,1.87,0.00,0.09,0.00,8.60,0.77,1.28,37.5,Matches
18,Che Adams\Che-Adams,sco SCO,FW,Southampton,eng Premier League,24-295,1996,26.3,0.04,0.00,0.00,0.95,1.86,0.68,0.38,0.34,0.57,0.00,0.00,0.00,4.07,1.56,4.90,24.1,Matches
19,Tyler Adams\Tyler-Adams,us USA,DFMF,RB Leipzig,de Bundesliga,22-079,1999,20.6,0.15,0.00,0.00,1.41,1.41,0.10,0.58,1.50,1.50,0.00,0.00,0.00,11.0,1.21,0.92,56.8,Matches
20,Sargis Adamyan\Sargis-Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,27-346,1993,2.9,0.00,0.00,0.00,1.03,2.41,0.34,1.03,1.38,0.69,0.00,0.00,0.00,4.83,1.38,3.79,26.7,Matches
21,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,eng Premier League,23-222,1997,29.0,0.03,0.00,0.00,0.45,0.21,0.07,0.10,1.45,0.76,0.00,0.03,0.03,8.59,2.97,1.21,71.1,Matches
22,Bobby Adekanye\Bobby-Adekanye,nl NED,FWMF,Cádiz,es La Liga,22-079,1999,0.4,0.00,0.00,0.00,2.50,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,,Matches
23,Yacine Adli\Yacine-Adli,fr FRA,MF,Bordeaux,fr Ligue 1,20-279,2000,24.0,0.25,0.00,0.00,1.42,1.33,0.00,1.21,1.46,2.38,0.00,0.00,0.00,7.96,1.04,0.96,52.1,Matches
24,Andrea Adorante\Andrea-Adorante,it ITA,FW,Parma,it Serie A,21-088,2000,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,10.0,0.0,Matches
25,Adrián\Adrian,es ESP,GK,Liverpool,eng Premier League,34-121,1987,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00,,Matches
26,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DFMF,Alavés,es La Liga,24-359,1996,15.3,0.07,0.00,0.00,1.50,1.31,0.07,1.31,2.03,0.85,0.00,0.00,0.00,6.93,0.98,1.31,42.9,Matches
27,Lucien Agoume\Lucien-Agoume,fr FRA,MF,Spezia,it Serie A,19-084,2002,8.1,0.25,0.00,0.00,1.85,0.99,0.00,0.00,1.73,1.36,0.00,0.00,0.00,11.9,1.23,0.74,62.5,Matches
28,Felix Agu\Felix-Agu,de GER,DF,Werder Bremen,de Bundesliga,21-219,1999,7.7,0.00,0.00,0.00,0.65,3.25,0.13,1.30,2.60,2.08,0.00,0.00,0.00,8.44,1.56,1.82,46.2,Matches
29,Kevin Agudelo\Kevin-Agudelo,co COL,FW,Spezia,it Serie A,22-171,1998,13.2,0.23,0.00,0.00,1.36,2.12,0.15,0.53,0.30,1.74,0.00,0.00,0.00,4.17,1.29,2.58,33.3,Matches
30,Nayef Aguerd\Nayef-Aguerd,ma MAR,DF,Rennes,fr Ligue 1,25-035,1996,32.0,0.13,0.00,0.00,0.56,0.91,0.06,0.03,1.09,1.03,0.00,0.00,0.00,9.56,3.81,1.63,70.1,Matches
