,,,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Height,,,Body Parts,,,,,Outcomes,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
1,Ismael Aaneba\Ismael-Aaneba,fr FRA,FWDF,Strasbourg,fr Ligue 1,21-340,1999,0.1,20.0,20.0,0.00,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,20.0,0.00,0.00,0.00,20.0,0.00,0.00,0.00,20.0,0.00,0.00,0.00,0.00,Matches
2,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,30-248,1990,19.7,57.1,47.2,9.90,1.83,0.10,5.58,1.02,1.73,0.10,0.00,0.10,0.00,36.3,11.1,9.64,37.6,9.80,1.27,7.97,0.15,45.1,0.61,1.07,1.47,1.73,Matches
3,Issah Abbas\Issah-Abbas,gh GHA,DFFW,Mainz 05,de Bundesliga,22-220,1998,0.2,75.0,60.0,15.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.0,20.0,5.00,0.00,60.0,0.00,15.0,0.00,65.0,0.00,0.00,0.00,0.00,Matches
4,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33-218,1987,31.0,53.5,51.7,1.84,1.84,0.00,5.03,1.23,0.00,0.00,0.00,0.00,0.00,42.6,3.90,7.03,35.3,14.9,1.77,0.00,0.10,47.0,0.13,0.77,0.61,0.35,Matches
5,Sabit Abdulai\Sabit-Abdulai,gh GHA,MF,Getafe,es La Liga,21-358,1999,0.6,18.3,18.3,0.00,0.00,0.00,11.7,1.67,1.67,0.00,0.00,0.00,0.00,11.7,0.00,6.67,1.67,15.0,1.67,0.00,0.00,11.7,0.00,1.67,0.00,1.67,Matches
6,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Nantes,fr Ligue 1,28-271,1992,14.7,49.3,46.0,3.33,2.18,0.07,5.65,2.24,1.43,0.95,0.48,0.27,0.20,37.0,4.76,7.55,6.80,40.1,1.29,0.20,0.27,41.9,0.34,1.02,0.68,0.48,Matches
7,Laurent Abergel\Laurent-Abergel,fr FRA,MF,Lorient,fr Ligue 1,28-092,1993,29.9,49.2,47.8,1.40,1.14,0.07,9.50,1.64,0.50,0.03,0.03,0.00,0.00,36.2,6.22,6.82,4.05,43.2,1.37,0.20,0.17,41.4,0.13,0.87,1.37,0.84,Matches
8,Charles Abi\Charles-Abi,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,21-022,2000,9.1,22.2,20.7,1.54,0.00,0.11,7.47,0.22,0.44,0.00,0.00,0.00,0.00,14.4,3.63,4.18,14.6,2.75,1.65,0.00,0.33,14.8,0.00,0.77,0.11,1.54,Matches
9,Matthis Abline\Matthis-Abline,fr FRA,FW,Rennes,fr Ligue 1,18-037,2003,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,Matches
10,Pape Abou Cisse\Pape-Abou-Cisse,sn SEN,DF,Saint-Étienne,fr Ligue 1,25-232,1995,13.0,45.8,44.0,1.77,1.62,0.00,4.69,3.31,0.08,0.00,0.00,0.00,0.00,31.1,3.69,11.0,13.9,28.4,2.23,0.15,0.00,37.1,0.00,1.00,0.38,0.23,Matches
11,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34-293,1986,13.6,50.7,46.5,4.19,1.25,0.07,5.51,1.69,0.59,0.00,0.00,0.00,0.00,31.8,6.84,12.0,5.00,36.8,3.97,2.94,0.07,41.5,0.22,0.51,0.37,0.74,Matches
12,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,eng Premier League,23-214,1997,11.6,18.8,17.9,0.86,0.17,0.00,6.64,0.09,0.34,0.00,0.00,0.00,0.00,11.7,4.66,2.41,1.47,12.7,1.55,0.00,1.03,12.8,0.00,0.34,0.26,1.12,Matches
13,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,31-038,1990,0.7,31.4,31.4,0.00,0.00,0.00,12.9,0.00,0.00,0.00,0.00,0.00,0.00,27.1,2.86,1.43,1.43,28.6,0.00,0.00,0.00,25.7,0.00,0.00,1.43,0.00,Matches
14,Gennaro Acampora\Gennaro-Acampora,it ITA,MFFW,Spezia,it Serie A,27-036,1994,4.8,45.2,44.8,0.42,0.21,0.00,7.08,1.46,1.46,0.21,0.00,0.00,0.00,35.6,3.54,6.04,39.6,4.17,1.25,0.00,0.21,37.7,0.42,1.25,1.04,0.63,Matches
15,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,it Serie A,33-083,1988,28.3,63.3,59.8,3.53,1.73,0.04,5.62,2.05,0.81,0.00,0.00,0.00,0.00,45.4,6.57,11.4,47.6,10.6,3.07,0.74,0.18,55.8,0.07,0.88,0.49,0.49,Matches
16,Ragnar Ache\Ragnar-Ache,de GER,FWMF,Eint Frankfurt,de Bundesliga,22-280,1998,0.9,30.0,30.0,0.00,0.00,0.00,15.6,0.00,0.00,0.00,0.00,0.00,0.00,11.1,8.89,10.0,3.33,10.0,4.44,0.00,0.00,16.7,0.00,0.00,0.00,2.22,Matches
17,Marcos Acuña\Marcos-Acuna,ar ARG,DF,Sevilla,es La Liga,29-188,1991,23.5,68.3,57.7,10.7,1.79,0.09,6.85,2.64,3.11,0.77,0.04,0.60,0.00,40.1,11.4,16.9,49.9,8.17,1.53,8.13,0.09,54.9,0.13,1.23,1.45,1.79,Matches
18,Che Adams\Che-Adams,sco SCO,FW,Southampton,eng Premier League,24-295,1996,26.3,21.4,21.0,0.42,0.04,0.23,5.70,0.46,0.38,0.00,0.00,0.00,0.00,13.4,4.30,3.65,1.33,16.9,1.25,0.00,0.80,14.9,0.19,0.34,0.99,1.14,Matches
19,Tyler Adams\Tyler-Adams,us USA,DFMF,RB Leipzig,de Bundesliga,22-079,1999,20.6,66.7,61.8,4.90,1.12,0.00,8.93,0.44,0.58,0.00,0.00,0.00,0.00,49.8,8.54,8.45,7.43,51.3,2.77,3.79,0.39,57.5,0.05,0.34,1.60,1.36,Matches
20,Sargis Adamyan\Sargis-Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,27-346,1993,2.9,28.3,27.9,0.34,0.00,0.00,6.55,0.69,1.03,0.00,0.00,0.00,0.00,16.6,6.55,5.17,3.10,20.3,3.10,0.00,1.03,20.0,0.00,0.34,1.03,3.10,Matches
21,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,eng Premier League,23-222,1997,29.0,53.5,51.9,1.59,1.41,0.07,4.93,1.45,0.10,0.00,0.00,0.00,0.00,40.9,3.79,8.83,7.55,41.9,2.48,0.17,0.10,46.4,0.10,1.00,0.62,0.48,Matches
