,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,44.0,55.8,78.8,761.7,332.6,20.7,23.2,89.3,18.7,22.7,82.2,4.01,7.92,50.7,0.07,0.11,-0.04,1.15,3.08,0.90,0.18,4.62,Matches
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36.0,36.6,46.8,78.1,563.7,189.8,20.4,22.8,89.4,13.2,16.6,79.7,2.17,4.83,44.8,0.03,0.09,-0.07,0.67,1.19,0.89,0.36,2.14,Matches
3,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28.0,47.4,54.1,87.7,1054.0,322.8,11.8,12.7,93.2,25.5,27.8,92.0,9.75,12.9,75.8,0.00,0.00,-0.00,0.07,1.61,0.11,0.00,2.86,Matches
4,Suleiman Abdullahi\Suleiman-Abdullahi,ng NGA,FWMF,Union Berlin,de Bundesliga,22,1996,1.7,10.6,23.5,45.0,185.9,77.6,7.06,11.8,60.0,2.35,7.06,33.3,1.18,1.76,66.7,0.00,0.12,-0.12,0.59,1.18,1.18,0.59,1.76,Matches
5,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,20.2,39.7,47.4,83.7,724.8,190.6,18.1,19.6,92.4,16.7,18.3,91.3,4.60,8.51,54.1,0.10,0.07,0.03,1.29,4.21,0.30,0.20,2.92,Matches
6,Charles Abi\Charles-Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,6.9,10.7,19.1,56.1,157.2,28.8,5.51,9.57,57.6,3.33,5.36,62.2,0.58,1.16,50.0,0.00,0.16,-0.16,0.72,0.72,0.29,0.00,1.16,Matches
7,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,39.5,47.7,82.8,885.1,323.4,10.6,12.3,86.1,20.6,23.3,88.6,7.93,11.2,70.6,0.00,0.01,-0.01,0.11,3.99,0.37,0.00,5.32,Matches
8,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,24.6,11.7,16.7,69.9,171.3,33.0,6.46,9.02,71.6,3.13,4.11,76.2,1.06,1.42,74.3,0.12,0.10,0.02,0.73,0.65,0.20,0.00,1.26,Matches
9,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,7.4,40.3,46.2,87.1,635.8,138.9,20.0,22.3,89.7,16.6,17.6,94.6,2.16,3.38,64.0,0.00,0.01,-0.01,0.54,2.57,0.68,0.41,2.84,Matches
