 
,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1,Ismael Aaneba\Ismael-Aaneba,fr FRA,FWDF,Strasbourg,fr Ligue 1,21-340,1999,0.1,20.0,20.0,100.0,570.0,150.0,0.00,0.00,,10.0,10.0,100.0,10.0,10.0,100.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,30-248,1990,19.7,45.1,57.1,79.0,756.2,352.5,23.0,25.9,88.8,17.3,21.2,81.3,3.96,7.61,52.0,0.05,0.04,0.01,0.56,3.45,1.32,0.20,5.69,Matches
3,Issah Abbas\Issah-Abbas,gh GHA,DFFW,Mainz 05,de Bundesliga,22-220,1998,0.2,65.0,75.0,86.7,1300.0,530.0,30.0,35.0,85.7,25.0,30.0,83.3,10.0,10.0,100.0,0.00,0.00,0.00,0.00,5.00,0.00,0.00,5.00,Matches
4,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33-218,1987,31.0,47.0,53.5,87.9,1051.0,360.2,10.5,11.8,89.1,27.9,29.7,93.7,8.32,11.4,73.3,0.00,0.01,-0.01,0.10,2.55,0.03,0.00,2.87,Matches
5,Sabit Abdulai\Sabit-Abdulai,gh GHA,MF,Getafe,es La Liga,21-358,1999,0.6,11.7,18.3,63.6,221.7,15.0,3.33,3.33,100.0,6.67,8.33,80.0,1.67,5.00,33.3,0.00,0.00,0.00,0.00,0.00,1.67,0.00,1.67,Matches
6,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Nantes,fr Ligue 1,28-271,1992,14.7,41.9,49.3,85.0,829.5,200.7,16.8,17.9,93.9,17.0,19.3,88.0,7.01,10.5,66.9,0.00,0.05,-0.05,0.82,4.08,0.48,0.27,2.86,Matches
7,Laurent Abergel\Laurent-Abergel,fr FRA,MF,Lorient,fr Ligue 1,28-092,1993,29.9,41.4,49.2,84.2,808.7,205.1,16.1,18.3,88.1,18.3,20.2,90.6,6.22,8.93,69.7,0.03,0.05,-0.01,0.64,3.65,0.43,0.07,3.51,Matches
8,Charles Abi\Charles-Abi,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,21-022,2000,9.1,14.8,22.2,66.8,198.2,33.8,8.68,11.3,76.7,3.85,5.38,71.4,0.66,2.20,30.0,0.22,0.03,0.19,0.77,0.88,0.55,0.00,1.10,Matches
9,Matthis Abline\Matthis-Abline,fr FRA,FW,Rennes,fr Ligue 1,18-037,2003,0.0,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
10,Pape Abou Cisse\Pape-Abou-Cisse,sn SEN,DF,Saint-Étienne,fr Ligue 1,25-232,1995,13.0,37.1,45.8,81.0,899.8,328.4,9.00,9.69,92.9,18.0,20.5,88.0,9.62,14.8,65.1,0.00,0.01,-0.01,0.23,2.31,0.15,0.00,2.38,Matches
11,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34-293,1986,13.6,41.5,50.7,81.9,888.0,312.8,13.0,15.0,86.8,20.4,22.8,89.4,7.79,11.8,65.8,0.00,0.04,-0.04,0.15,3.68,0.22,0.15,3.16,Matches
12,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,eng Premier League,23-214,1997,11.6,12.8,18.8,68.3,177.3,28.2,7.93,10.2,78.0,3.36,5.52,60.9,0.78,1.29,60.0,0.09,0.08,0.01,0.69,1.03,0.17,0.00,0.95,Matches
13,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,31-038,1990,0.7,25.7,31.4,81.8,421.4,38.6,10.0,12.9,77.8,12.9,14.3,90.0,1.43,1.43,100.0,0.00,0.00,0.00,0.00,1.43,0.00,0.00,0.00,Matches
14,Gennaro Acampora\Gennaro-Acampora,it ITA,MFFW,Spezia,it Serie A,27-036,1994,4.8,37.7,45.2,83.4,757.3,124.4,15.0,16.9,88.9,16.0,19.0,84.6,6.25,8.33,75.0,0.00,0.00,0.00,0.21,2.50,0.63,0.21,3.13,Matches
15,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,it Serie A,33-083,1988,28.3,55.8,63.3,88.1,1180.5,326.3,17.7,19.3,91.6,26.5,28.2,94.0,10.5,14.0,74.8,0.04,0.04,0.00,0.39,3.67,0.67,0.28,3.07,Matches
16,Ragnar Ache\Ragnar-Ache,de GER,FWMF,Eint Frankfurt,de Bundesliga,22-280,1998,0.9,16.7,30.0,55.6,188.9,17.8,11.1,17.8,62.5,4.44,8.89,50.0,0.00,0.00,,0.00,0.00,0.00,0.00,1.11,0.00,0.00,0.00,Matches
17,Marcos Acuña\Marcos-Acuna,ar ARG,DF,Sevilla,es La Liga,29-188,1991,23.5,54.9,68.3,80.3,1089.6,442.3,21.2,23.4,90.6,25.3,28.9,87.6,7.79,14.3,54.6,0.09,0.11,-0.03,1.36,4.38,1.45,0.77,4.85,Matches
18,Che Adams\Che-Adams,sco SCO,FW,Southampton,eng Premier League,24-295,1996,26.3,14.9,21.4,69.9,245.2,53.9,7.68,10.3,74.5,4.75,6.20,76.7,1.71,2.32,73.8,0.15,0.19,-0.03,1.06,0.91,0.72,0.04,1.98,Matches
19,Tyler Adams\Tyler-Adams,us USA,DFMF,RB Leipzig,de Bundesliga,22-079,1999,20.6,57.5,66.7,86.1,949.6,260.3,28.5,31.5,90.6,23.7,26.3,90.0,4.27,6.80,62.9,0.05,0.04,0.00,0.63,4.13,0.92,0.10,4.37,Matches
20,Sargis Adamyan\Sargis-Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,27-346,1993,2.9,20.0,28.3,70.7,316.2,66.2,11.4,14.8,76.7,5.52,6.90,80.0,2.07,2.76,75.0,0.69,0.24,0.45,2.41,0.69,1.38,0.34,2.07,Matches
