,,,,,,,,,Touches,,,,,,,Dribbles,,,,,Carries,,,,,,,,Receiving,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
1,Ismael Aaneba\Ismael-Aaneba,fr FRA,FWDF,Strasbourg,fr Ligue 1,21-340,1999,0.1,40.0,20.0,40.0,10.0,0.00,0.00,40.0,0.00,0.00,,0.00,0.00,20.0,100.0,40.0,0.00,0.00,0.00,0.00,0.00,30.0,10.0,33.3,0.00,Matches
2,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,30-248,1990,19.7,67.0,3.65,20.5,32.5,17.5,1.93,57.0,0.46,1.07,42.9,0.46,0.00,37.0,178.6,96.6,5.79,1.52,0.46,0.66,0.81,42.2,39.1,92.8,2.34,Matches
3,Issah Abbas\Issah-Abbas,gh GHA,DFFW,Mainz 05,de Bundesliga,22-220,1998,0.2,90.0,0.00,25.0,30.0,40.0,5.00,75.0,5.00,10.0,50.0,10.0,0.00,55.0,235.0,200.0,10.0,5.00,0.00,0.00,5.00,60.0,55.0,91.7,10.0,Matches
4,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33-218,1987,31.0,65.1,8.65,37.3,31.1,1.26,0.65,63.3,0.35,0.58,61.1,0.39,0.03,41.7,236.9,130.9,1.84,0.26,0.03,0.23,0.48,43.9,42.6,97.1,0.23,Matches
5,Sabit Abdulai\Sabit-Abdulai,gh GHA,MF,Getafe,es La Liga,21-358,1999,0.6,23.3,0.00,0.00,15.0,10.0,0.00,23.3,1.67,3.33,50.0,1.67,0.00,15.0,70.0,31.7,1.67,1.67,0.00,0.00,0.00,15.0,11.7,77.8,1.67,Matches
6,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Nantes,fr Ligue 1,28-271,1992,14.7,59.3,1.77,15.2,37.5,11.8,0.88,56.1,1.56,2.18,71.9,1.56,0.00,40.5,237.1,114.9,4.08,1.50,0.07,0.41,1.22,42.7,38.4,90.0,0.95,Matches
7,Laurent Abergel\Laurent-Abergel,fr FRA,MF,Lorient,fr Ligue 1,28-092,1993,29.9,60.8,1.20,16.1,38.9,9.40,0.57,59.6,0.67,0.97,69.0,0.67,0.00,42.0,177.7,89.0,3.31,0.97,0.10,1.27,1.34,43.9,40.6,92.3,1.37,Matches
8,Charles Abi\Charles-Abi,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,21-022,2000,9.1,35.6,0.99,4.29,17.0,16.3,4.73,34.1,1.32,2.75,48.0,1.54,0.00,21.3,103.1,53.6,2.75,1.10,0.44,3.74,2.20,49.1,26.0,53.0,6.70,Matches
9,Matthis Abline\Matthis-Abline,fr FRA,FW,Rennes,fr Ligue 1,18-037,2003,0.0,1,0,0,0,1,0,1,1,1,100.0,1,0,2,7,3,0,0,0,0,0,1,1,100.0,0,Matches
